# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:34:59.402645+00:00
date,fund_value_inr,benchmark_value_inr
2022-11-28,10000.00,
2022-11-29,10002.48,
2022-12-01,10007.21,
2022-12-05,10014.42,
2022-12-07,10015.56,
2022-12-09,10019.02,
2022-12-12,10024.88,
2022-12-14,10029.41,
2022-12-16,10032.09,
2022-12-19,10037.18,
2022-12-22,10041.34,
2022-12-23,10042.93,
2022-12-27,10050.42,
2022-12-30,10058.00,
2023-01-02,10063.90,
2023-01-04,10067.00,
2023-01-06,10070.21,
2023-01-09,10076.04,
2023-01-12,10081.13,
2023-01-16,10088.01,
2023-01-17,10090.37,
2023-01-20,10094.37,
2023-01-23,10101.25,
2023-01-25,10103.90,
2023-01-27,10106.79,
2023-01-31,10110.33,
2023-02-03,10120.92,
2023-02-07,10128.33,
2023-02-08,10126.42,
2023-02-10,10129.76,
2023-02-13,10136.11,
2023-02-15,10136.56,
2023-02-17,10138.68,
2023-02-21,10146.33,
2023-02-24,10149.47,
2023-02-27,10152.20,
2023-03-01,10155.86,
2023-03-03,10158.23,
2023-03-06,10164.21,
2023-03-10,10171.99,
2023-03-13,10183.23,
2023-03-16,10188.85,
2023-03-17,10189.34,
2023-03-23,10207.83,
2023-03-24,10207.55,
2023-03-28,10213.74,
2023-03-31,10232.92,
2023-04-05,10245.83,
2023-04-10,10264.36,
2023-04-11,10266.73,
2023-04-13,10271.29,
2023-04-18,10283.26,
2023-04-19,10286.48,
2023-04-21,10290.71,
2023-04-25,10298.62,
2023-04-28,10304.81,
2023-05-02,10311.00,
2023-05-08,10325.54,
2023-05-09,10327.25,
2023-05-11,10328.14,
2023-05-12,10330.51,
2023-05-16,10341.66,
2023-05-19,10349.97,
2023-05-22,10361.34,
2023-05-24,10362.64,
2023-05-26,10365.29,
2023-05-29,10370.22,
2023-05-31,10373.92,
2023-06-05,10385.85,
2023-06-07,10390.21,
2023-06-09,10390.90,
2023-06-12,10396.00,
2023-06-14,10401.78,
2023-06-16,10405.85,
2023-06-19,10411.96,
2023-06-21,10417.54,
2023-06-23,10419.66,
2023-06-28,10429.11,
2023-07-03,10439.70,
2023-07-05,10446.05,
2023-07-06,10446.99,
2023-07-07,10448.41,
2023-07-11,10456.60,
2023-07-14,10465.15,
2023-07-17,10471.63,
2023-07-19,10476.60,
2023-07-21,10483.03,
2023-07-25,10492.68,
2023-07-27,10500.26,
2023-07-28,10501.11,
2023-08-01,10508.53,
2023-08-04,10515.45,
2023-08-07,10521.27,
2023-08-09,10524.45,
2023-08-11,10528.40,
2023-08-17,10540.54,
2023-08-21,10550.35,
2023-08-22,10552.15,
2023-08-25,10560.21,
2023-08-28,10567.21,
2023-08-31,10573.65,
2023-09-04,10581.47,
2023-09-05,10582.98,
2023-09-07,10586.23,
2023-09-08,10588.15,
2023-09-12,10592.91,
2023-09-14,10608.43,
2023-09-20,10617.39,
2023-09-22,10621.14,
2023-09-25,10625.99,
2023-09-27,10629.28,
2023-10-03,10640.52,
2023-10-05,10647.16,
2023-10-06,10641.46,
2023-10-10,10645.62,
2023-10-13,10654.41,
2023-10-16,10660.16,
2023-10-18,10665.37,
2023-10-20,10668.22,
2023-10-25,10679.34,
2023-10-27,10683.13,
2023-10-31,10690.58,
2023-11-01,10691.92,
2023-11-03,10697.75,
2023-11-06,10704.14,
2023-11-09,10710.25,
2023-11-10,10711.76,
2023-11-15,10722.31,
2023-11-20,10732.81,
2023-11-22,10733.71,
2023-11-23,10736.36,
2023-11-24,10737.05,
2023-11-29,10747.68,
2023-12-01,10751.55,
2023-12-05,10760.06,
2023-12-08,10766.50,
2023-12-11,10772.52,
2023-12-14,10777.78,
2023-12-15,10780.63,
2023-12-18,10787.19,
2023-12-21,10792.48,
2023-12-26,10805.88,
2023-12-28,10810.73,
2024-01-01,10822.82,
2024-01-03,10827.59,
2024-01-04,10827.71,
2024-01-08,10837.93,
2024-01-09,10840.50,
2024-01-12,10847.22,
2024-01-15,10856.02,
2024-01-18,10857.64,
2024-01-23,10867.95,
2024-01-24,10868.48,
2024-01-29,10878.25,
2024-01-30,10879.31,
2024-02-01,10884.36,
2024-02-05,10894.14,
2024-02-08,10898.05,
2024-02-12,10904.11,
2024-02-13,10906.27,
2024-02-15,10911.40,
2024-02-16,10914.01,
2024-02-22,10932.38,
2024-02-23,10934.05,
2024-02-27,10944.27,
2024-03-01,10952.50,
2024-03-04,10960.28,
2024-03-05,10962.31,
2024-03-11,10981.13,
2024-03-13,10986.26,
2024-03-15,10988.58,
2024-03-18,10994.53,
2024-03-21,11003.49,
2024-03-22,11003.82,
2024-03-27,11013.43,
2024-03-28,11024.95,
2024-04-02,11039.74,
2024-04-05,11051.67,
2024-04-10,11064.13,
2024-04-12,11067.72,
2024-04-18,11079.77,
2024-04-19,11079.16,
2024-04-22,11086.82,
2024-04-25,11093.46,
2024-04-29,11101.52,
2024-04-30,11102.66,
2024-05-06,11119.12,
2024-05-08,11121.48,
2024-05-09,11121.97,
2024-05-10,11124.49,
2024-05-14,11134.84,
2024-05-17,11142.53,
2024-05-21,11153.16,
2024-05-27,11166.36,
2024-05-29,11168.44,
2024-05-30,11171.29,
2024-06-03,11180.66,
2024-06-04,11177.11,
2024-06-07,11187.58,
2024-06-10,11194.67,
2024-06-13,11203.02,
2024-06-18,11215.93,
2024-06-19,11219.06,
2024-06-21,11223.66,
2024-06-24,11229.86,
2024-06-27,11233.85,
2024-06-28,11237.67,
2024-07-02,11250.38,
2024-07-04,11257.10,
2024-07-08,11266.10,
2024-07-09,11267.89,
2024-07-11,11273.07,
2024-07-12,11275.39,
2024-07-18,11290.09,
2024-07-22,11298.97,
2024-07-24,11301.70,
2024-07-26,11310.86,
2024-07-29,11317.79,
2024-07-31,11321.61,
2024-08-02,11326.95,
2024-08-05,11333.75,
2024-08-07,11336.28,
2024-08-09,11340.15,
2024-08-13,11348.29,
2024-08-16,11354.03,
2024-08-19,11361.41,
2024-08-21,11367.35,
2024-08-26,11379.08,
