# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:59.524553+00:00
stretch_ending,fund_return,benchmark_return
2025-11-27,0.242834,
2025-12-04,0.228707,
2025-12-11,0.227652,
2025-12-18,0.229963,
2025-12-24,0.249505,
2026-01-01,0.242949,
2026-01-08,0.239037,
2026-01-14,0.241218,
2026-01-22,0.231039,
2026-01-29,0.249910,
2026-02-05,0.243611,
2026-02-12,0.248393,
2026-02-19,0.241328,
2026-02-26,0.256254,
2026-03-05,0.229942,
2026-03-12,0.229731,
2026-03-19,0.220329,
2026-03-25,0.227480,
2026-04-02,0.208197,
2026-04-09,0.224293,
2026-04-16,0.235067,
2026-04-23,0.240887,
2026-04-30,0.225955,
2026-05-07,0.232057,
2026-05-14,0.217814,
2026-05-21,0.217012,
2026-05-27,0.220590,
2026-06-04,0.207663,
2026-06-11,0.195085,
2026-06-18,0.211776,
2026-06-25,0.212934,
2026-07-02,0.204577,
2026-07-09,0.197166,
2026-07-16,0.190526,
2026-07-23,0.182931,
2026-07-30,0.178311,
2026-08-06,0.188722,
2026-08-13,0.189902,
2026-08-20,0.186177,
2026-08-27,0.183183,
2026-09-03,0.168225,
2026-09-10,0.152807,
2026-09-17,0.149654,
2026-09-24,0.155795,
