# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:34:59.489766+00:00
date,fund_value_inr,benchmark_value_inr
2022-11-28,10000.00,
2022-11-29,10003.26,
2022-12-01,10137.17,
2022-12-05,10188.44,
2022-12-07,10115.08,
2022-12-08,10219.31,
2022-12-12,10149.80,
2022-12-14,10263.56,
2022-12-16,10064.13,
2022-12-20,10102.56,
2022-12-22,9884.54,
2022-12-23,9624.45,
2022-12-27,9910.24,
2022-12-30,10002.34,
2023-01-03,10077.72,
2023-01-04,9976.34,
2023-01-09,10030.87,
2023-01-10,9938.29,
2023-01-12,9920.15,
2023-01-16,9954.94,
2023-01-18,9993.47,
2023-01-20,9976.52,
2023-01-24,9994.25,
2023-01-27,9726.21,
2023-01-31,9914.32,
2023-02-01,9873.16,
2023-02-03,9997.75,
2023-02-07,9933.20,
2023-02-09,10012.77,
2023-02-13,9935.81,
2023-02-15,10019.05,
2023-02-16,10053.78,
2023-02-21,10000.66,
2023-02-22,9875.20,
2023-02-27,9756.59,
2023-02-28,9754.08,
2023-03-02,9841.95,
2023-03-06,10060.05,
2023-03-08,10121.26,
2023-03-13,9833.19,
2023-03-14,9758.67,
2023-03-17,9789.47,
2023-03-20,9723.39,
2023-03-22,9816.42,
2023-03-27,9660.10,
2023-03-28,9646.18,
2023-03-31,9915.70,
2023-04-05,9967.04,
2023-04-10,10005.00,
2023-04-11,10052.22,
2023-04-13,10038.58,
2023-04-18,10023.73,
2023-04-21,9952.43,
2023-04-24,10018.99,
2023-04-27,10121.73,
2023-05-02,10286.65,
2023-05-03,10294.99,
2023-05-04,10369.75,
2023-05-09,10322.27,
2023-05-11,10371.19,
2023-05-12,10319.44,
2023-05-16,10394.13,
2023-05-18,10314.88,
2023-05-22,10385.68,
2023-05-25,10330.07,
2023-05-26,10431.40,
2023-05-29,10439.22,
2023-06-01,10493.76,
2023-06-05,10633.02,
2023-06-07,10721.21,
2023-06-09,10650.49,
2023-06-13,10766.69,
2023-06-15,10780.08,
2023-06-16,10869.09,
2023-06-20,10886.70,
2023-06-21,10899.33,
2023-06-23,10721.56,
2023-06-28,10876.68,
2023-06-30,10988.99,
2023-07-05,11151.43,
2023-07-06,11241.04,
2023-07-10,11118.11,
2023-07-13,11184.75,
2023-07-17,11383.50,
2023-07-18,11365.76,
2023-07-20,11525.27,
2023-07-24,11496.67,
2023-07-26,11568.88,
2023-07-27,11531.32,
2023-07-31,11710.41,
2023-08-03,11516.68,
2023-08-04,11583.10,
2023-08-09,11664.78,
2023-08-10,11704.20,
2023-08-14,11615.89,
2023-08-16,11674.98,
2023-08-18,11681.52,
2023-08-23,11893.45,
2023-08-25,11776.74,
2023-08-28,11814.00,
2023-08-31,11965.72,
2023-09-04,12187.53,
2023-09-05,12255.71,
2023-09-06,12247.75,
2023-09-11,12568.77,
2023-09-12,12296.56,
2023-09-14,12455.77,
2023-09-18,12425.86,
2023-09-21,12222.16,
2023-09-25,12250.99,
2023-09-27,12346.78,
2023-10-03,12410.40,
2023-10-04,12255.11,
2023-10-09,12205.37,
2023-10-10,12378.00,
2023-10-12,12446.04,
2023-10-17,12490.38,
2023-10-19,12405.76,
2023-10-20,12360.03,
2023-10-26,11871.47,
2023-10-27,12064.20,
2023-10-31,12090.12,
2023-11-01,12093.78,
2023-11-06,12394.63,
2023-11-08,12484.94,
2023-11-10,12556.04,
2023-11-15,12785.92,
2023-11-16,12856.51,
2023-11-21,12955.77,
2023-11-22,12879.09,
2023-11-24,12935.25,
2023-11-28,13005.43,
2023-11-30,13207.35,
2023-12-05,13710.00,
2023-12-06,13738.97,
2023-12-08,13713.81,
2023-12-12,13736.69,
2023-12-15,14085.23,
2023-12-19,14052.12,
2023-12-20,13681.62,
2023-12-21,13812.80,
2023-12-27,14009.52,
2023-12-28,14080.64,
2024-01-02,14035.74,
2024-01-04,14220.35,
2024-01-08,14136.33,
2024-01-10,14183.05,
2024-01-11,14276.89,
2024-01-15,14488.01,
2024-01-17,14278.58,
2024-01-19,14432.36,
2024-01-23,14053.23,
2024-01-29,14553.62,
2024-01-30,14538.75,
2024-02-02,14890.04,
2024-02-05,14903.81,
2024-02-07,15148.06,
2024-02-09,15021.17,
2024-02-12,14683.15,
2024-02-14,14901.35,
2024-02-16,15229.97,
2024-02-21,15177.07,
2024-02-22,15291.89,
2024-02-27,15423.86,
2024-02-28,15173.70,
2024-03-04,15522.19,
2024-03-06,15396.55,
2024-03-07,15417.76,
2024-03-12,15045.67,
2024-03-13,14495.33,
2024-03-18,14667.13,
2024-03-20,14531.24,
2024-03-21,14838.14,
2024-03-26,15001.34,
2024-03-31,15131.56,
2024-04-01,15391.10,
2024-04-03,15584.05,
2024-04-04,15640.02,
2024-04-08,15671.63,
2024-04-10,15720.62,
2024-04-15,15356.81,
2024-04-19,15291.08,
2024-04-22,15442.03,
2024-04-25,15784.43,
2024-04-26,15801.94,
2024-04-30,15996.48,
2024-05-02,16115.74,
2024-05-07,15643.74,
2024-05-09,15387.53,
2024-05-13,15460.89,
2024-05-14,15683.70,
2024-05-17,16270.68,
2024-05-22,16408.97,
2024-05-23,16545.22,
2024-05-27,16680.42,
2024-05-28,16521.55,
2024-05-30,16351.26,
2024-06-04,15724.43,
2024-06-06,16701.64,
2024-06-07,17023.32,
2024-06-12,17287.00,
2024-06-14,17589.44,
2024-06-19,17537.84,
2024-06-20,17649.30,
2024-06-21,17581.22,
2024-06-25,17714.08,
2024-06-28,17773.30,
2024-07-02,17875.41,
2024-07-04,18067.69,
2024-07-05,18076.25,
2024-07-10,17950.64,
2024-07-11,17960.45,
2024-07-16,18210.12,
2024-07-18,18197.91,
2024-07-19,17763.64,
2024-07-23,17750.81,
2024-07-25,17912.88,
2024-07-30,18359.63,
2024-08-01,18232.26,
2024-08-05,17315.90,
2024-08-07,17563.98,
2024-08-08,17392.06,
2024-08-12,17613.50,
2024-08-14,17419.56,
2024-08-16,17719.90,
2024-08-20,17973.96,
2024-08-23,18036.80,
2024-08-26,18164.38,
2024-08-29,18246.16,
2024-08-30,18431.43,
2024-09-04,18364.01,
2024-09-05,18419.67,
2024-09-09,18098.90,
2024-09-11,18168.58,
2024-09-12,18469.12,
2024-09-17,18609.22,
2024-09-19,18423.65,
2024-09-23,18760.50,
2024-09-24,18810.47,
2024-09-27,18850.25,
2024-09-30,18756.41,
2024-10-01,18809.27,
2024-10-07,17944.07,
2024-10-08,18218.95,
2024-10-11,18373.26,
2024-10-15,18655.63,
2024-10-17,18368.10,
2024-10-18,18472.88,
2024-10-22,17774.59,
2024-10-25,17497.02,
2024-10-28,17657.64,
2024-10-29,17914.14,
2024-11-04,17873.53,
2024-11-06,18309.06,
2024-11-08,18022.22,
