# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m0
# Generated: 2026-09-26T10:36:05.043187+00:00
date,nav
2024-08-02,9.98580
2024-08-05,9.65390
2024-08-06,9.61080
2024-08-07,9.79860
2024-08-08,9.74800
2024-08-09,9.83310
2024-08-12,9.84230
2024-08-13,9.75000
2024-08-14,9.72380
2024-08-16,9.88830
2024-08-19,9.94330
2024-08-20,10.00470
2024-08-21,10.05520
2024-08-22,10.09000
2024-08-23,10.08000
2024-08-26,10.13520
2024-08-27,10.16800
2024-08-29,10.15230
2024-08-30,10.20250
2024-09-02,10.20450
2024-09-03,10.22620
2024-09-04,10.21830
2024-09-05,10.23710
2024-09-06,10.11830
2024-09-09,10.10760
2024-09-10,10.18580
2024-09-11,10.13580
2024-09-12,10.27460
2024-09-13,10.30410
2024-09-16,10.32330
2024-09-17,10.31910
2024-09-18,10.28280
2024-09-19,10.24230
2024-09-23,10.45710
2024-09-24,10.46030
2024-09-25,10.44010
2024-09-26,10.46860
2024-09-27,10.46370
2024-09-30,10.39010
2024-10-01,10.41440
2024-10-03,10.19860
2024-10-04,10.10640
2024-10-07,9.92620
2024-10-08,10.08200
2024-10-09,10.14350
2024-10-10,10.14420
2024-10-11,10.16200
2024-10-15,10.23150
2024-10-16,10.21450
2024-10-17,10.07960
2024-10-18,10.10020
2024-10-21,9.99960
2024-10-22,9.77060
2024-10-23,9.80230
2024-10-24,9.77340
2024-10-25,9.62910
2024-10-28,9.70040
2024-10-29,9.76760
2024-10-30,9.77720
2024-10-31,9.78430
2024-11-04,9.71330
2024-11-05,9.77400
2024-11-06,9.93720
2024-11-08,9.76450
2024-11-11,9.71770
2024-11-12,9.60730
2024-11-13,9.40140
2024-11-14,9.43510
2024-11-18,9.40320
2024-11-19,9.46080
2024-11-21,9.39230
2024-11-22,9.54070
2024-11-25,9.69150
2024-11-26,9.70510
2024-11-27,9.76660
2024-11-28,9.71680
2024-11-29,9.78520
2024-12-02,9.85270
2024-12-03,9.93410
2024-12-05,10.04820
2024-12-06,10.07290
2024-12-09,10.07780
2024-12-10,10.09330
2024-12-11,10.11530
2024-12-12,10.06170
2024-12-13,10.08430
2024-12-16,10.09870
2024-12-17,10.00330
2024-12-18,9.93500
2024-12-19,9.87170
2024-12-20,9.67850
2024-12-23,9.69980
2024-12-24,9.70300
2024-12-26,9.71140
2024-12-30,9.68710
2024-12-31,9.70510
2025-01-01,9.75770
2025-01-02,9.88050
2025-01-03,9.84050
2025-01-06,9.61520
2025-01-07,9.68350
2025-01-08,9.61510
2025-01-09,9.53100
2025-01-10,9.39170
2025-01-13,9.11550
2025-01-14,9.23540
2025-01-15,9.26860
2025-01-16,9.34820
2025-01-17,9.34190
2025-01-20,9.40250
2025-01-22,9.18360
2025-01-23,9.25750
2025-01-24,9.13910
2025-01-27,8.92960
2025-01-28,8.89960
2025-01-29,9.06830
2025-01-30,9.08350
2025-01-31,9.21400
2025-02-03,9.12920
2025-02-04,9.25950
2025-02-05,9.30800
2025-02-06,9.26300
2025-02-07,9.25240
2025-02-10,9.11430
2025-02-11,8.90630
2025-02-13,8.87670
2025-02-14,8.72360
2025-02-17,8.72960
2025-02-18,8.69660
2025-02-19,8.77820
2025-02-20,8.83850
2025-02-21,8.77690
2025-02-24,8.68330
2025-02-25,8.65700
2025-02-27,8.59030
2025-02-28,8.40180
2025-03-03,8.39940
2025-03-04,8.42230
2025-03-05,8.58380
2025-03-06,8.66660
2025-03-07,8.67230
2025-03-10,8.57850
2025-03-12,8.56450
2025-03-13,8.52240
2025-03-17,8.56770
2025-03-18,8.73440
2025-03-19,8.84790
2025-03-20,8.92610
2025-03-21,9.03160
2025-03-24,9.13540
2025-03-25,9.07170
2025-03-26,8.99440
2025-03-27,9.05590
2025-03-28,9.02440
2025-03-31,9.02420
2025-04-01,8.92740
2025-04-03,9.02230
2025-04-04,8.80790
2025-04-07,8.50370
2025-04-08,8.66790
2025-04-09,8.60930
2025-04-11,8.79160
2025-04-15,9.02500
2025-04-16,9.08470
2025-04-17,9.17810
2025-04-21,9.32870
2025-04-22,9.37510
2025-04-23,9.43540
2025-04-24,9.41600
2025-04-25,9.24890
2025-04-28,9.34680
2025-04-29,9.35600
2025-05-02,9.27820
2025-05-05,9.36980
2025-05-06,9.23980
2025-05-07,9.30980
2025-05-08,9.20270
2025-05-09,9.14450
2025-05-12,9.49270
2025-05-13,9.46340
2025-05-14,9.54600
2025-05-15,9.65030
2025-05-16,9.71340
2025-05-19,9.72580
2025-05-20,9.60910
2025-05-21,9.66800
2025-05-22,9.62480
2025-05-26,9.74880
2025-05-27,9.72720
2025-05-28,9.72730
2025-05-29,9.76600
2025-05-30,9.75600
2025-06-02,9.78500
2025-06-03,9.74840
2025-06-04,9.79750
2025-06-05,9.85480
2025-06-06,9.94580
2025-06-09,10.03130
2025-06-10,10.03790
2025-06-11,10.03160
2025-06-12,9.90060
2025-06-13,9.84900
2025-06-16,9.92190
2025-06-18,9.84240
2025-06-19,9.74000
2025-06-20,9.84720
2025-06-23,9.85600
2025-06-24,9.91180
2025-06-25,10.00130
2025-06-26,10.07630
2025-06-27,10.13230
2025-06-30,10.15510
2025-07-01,10.14880
2025-07-02,10.12080
2025-07-03,10.12170
2025-07-04,10.13580
2025-07-07,10.12570
2025-07-08,10.12640
2025-07-10,10.10120
2025-07-11,10.02330
2025-07-14,10.05480
2025-07-15,10.12170
2025-07-16,10.13320
2025-07-17,10.12310
2025-07-18,10.06320
2025-07-21,10.09900
2025-07-22,10.06940
2025-07-23,10.10770
2025-07-24,10.05310
2025-07-25,9.91530
2025-07-28,9.83350
2025-07-29,9.90700
2025-07-30,9.91520
2025-07-31,9.85490
2025-08-01,9.74150
2025-08-05,9.80150
2025-08-06,9.73200
2025-08-07,9.74220
2025-08-08,9.63080
2025-08-11,9.70200
2025-08-12,9.68320
2025-08-13,9.74040
2025-08-14,9.72760
2025-08-18,9.83860
2025-08-19,9.90280
2025-08-20,9.93680
2025-08-21,9.93190
2025-08-22,9.88430
2025-08-25,9.90320
2025-08-28,9.66910
2025-08-29,9.63410
2025-09-01,9.75160
2025-09-02,9.76690
2025-09-03,9.83050
2025-09-04,9.79920
2025-09-05,9.80680
2025-09-08,9.82920
2025-09-09,9.85700
2025-09-10,9.91700
2025-09-11,9.92590
2025-09-12,9.96100
2025-09-15,9.98460
2025-09-16,10.05080
2025-09-17,10.08470
2025-09-18,10.11170
2025-09-19,10.10470
2025-09-23,10.02010
2025-09-24,9.95620
2025-09-25,9.89020
2025-09-26,9.73770
2025-09-30,9.74840
2025-10-01,9.83430
2025-10-03,9.88830
2025-10-06,9.94030
2025-10-07,9.95850
2025-10-08,9.91060
2025-10-09,9.96500
2025-10-10,10.00910
2025-10-11,10.00900
2025-10-13,9.99110
2025-10-14,9.93440
2025-10-16,10.08580
2025-10-17,10.08610
2025-10-20,10.13850
2025-10-23,10.15900
2025-10-24,10.13310
2025-10-27,10.20330
2025-10-28,10.19410
2025-10-29,10.25060
2025-10-30,10.21400
2025-10-31,10.15910
2025-11-03,10.21070
2025-11-04,10.15450
2025-11-06,10.06890
2025-11-07,10.07430
2025-11-10,10.10260
2025-11-12,10.19990
2025-11-13,10.18290
2025-11-14,10.19300
2025-11-17,10.24820
2025-11-18,10.18500
2025-11-19,10.20590
2025-11-20,10.22430
2025-11-21,10.13470
2025-11-24,10.08500
2025-11-25,10.08350
2025-11-26,10.20860
2025-11-27,10.20210
2025-11-28,10.19340
2025-12-01,10.19300
2025-12-02,10.15250
2025-12-03,10.10330
2025-12-05,10.13000
2025-12-08,9.97960
2025-12-09,9.99870
2025-12-10,9.94440
2025-12-11,10.00550
2025-12-12,10.08510
2025-12-15,10.08990
2025-12-16,10.02210
2025-12-17,9.98140
2025-12-18,9.98190
2025-12-19,10.07240
2025-12-22,10.15650
2025-12-23,10.17430
2025-12-24,10.15440
2025-12-26,10.12700
2025-12-30,10.07320
2025-12-31,10.16570
2026-01-01,10.18110
2026-01-02,10.26310
2026-01-05,10.25320
2026-01-06,10.23150
2026-01-07,10.24080
