# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:32.478769+00:00
date,fund_below_high,benchmark_below_high
2013-01-07,0.000000,
2013-01-11,-0.019399,
2013-01-21,-0.003022,
2013-01-25,-0.037720,
2013-02-06,-0.038307,
2013-02-20,-0.060577,
2013-02-28,-0.103611,
2013-03-11,-0.069270,
2013-03-21,-0.153204,
2013-04-02,-0.128316,
2013-04-09,-0.161753,
2013-04-22,-0.123058,
2013-04-24,-0.126476,
2013-05-08,-0.088415,
2013-05-17,-0.080730,
2013-05-23,-0.105959,
2013-06-05,-0.096663,
2013-06-19,-0.105411,
2013-06-25,-0.147263,
2013-07-01,-0.109686,
2013-07-10,-0.118426,
2013-07-23,-0.106807,
2013-07-31,-0.161714,
2013-08-14,-0.131552,
2013-08-21,-0.184912,
2013-09-03,-0.180138,
2013-09-10,-0.137540,
2013-09-19,-0.120980,
2013-09-30,-0.131385,
2013-10-11,-0.104848,
2013-10-21,-0.089978,
2013-10-28,-0.106553,
2013-11-05,-0.087225,
2013-11-21,-0.111177,
2013-11-25,-0.095379,
2013-12-09,-0.073695,
2013-12-13,-0.090104,
2013-12-21,-0.056620,
2014-01-02,-0.055200,
2014-01-15,-0.033025,
2014-01-28,-0.073893,
2014-01-30,-0.083625,
2014-02-10,-0.048990,
2014-02-26,-0.056953,
2014-03-07,-0.020399,
2014-03-19,0.000000,
2014-03-26,-0.004283,
2014-03-31,0.000000,
2014-04-21,0.000000,
2014-04-30,-0.013102,
2014-05-08,-0.015724,
2014-05-23,0.000000,
2014-05-27,-0.027407,
2014-06-04,0.000000,
2014-06-13,-0.027914,
2014-06-30,0.000000,
2014-07-09,-0.034249,
2014-07-17,0.000000,
2014-07-25,-0.013956,
2014-08-04,0.000000,
2014-08-13,-0.007678,
2014-08-26,-0.012605,
2014-09-02,0.000000,
2014-09-12,0.000000,
2014-09-25,-0.047416,
2014-09-30,-0.029045,
2014-10-16,-0.053551,
2014-10-31,0.000000,
2014-11-17,0.000000,
2014-11-25,-0.021554,
2014-12-04,0.000000,
2014-12-16,-0.052553,
2014-12-17,-0.060566,
2014-12-31,-0.005442,
2015-01-07,-0.029258,
2015-01-15,0.000000,
2015-02-03,-0.007865,
2015-02-09,-0.046568,
2015-02-13,-0.021040,
2015-02-26,-0.052440,
2015-03-10,-0.014891,
2015-03-26,-0.045233,
2015-04-06,0.000000,
2015-04-16,-0.006949,
2015-04-27,-0.075884,
2015-05-04,-0.046880,
2015-05-12,-0.066662,
2015-05-26,-0.034282,
2015-06-03,-0.078383,
