# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:36:32.147592+00:00
date,nav
2013-01-07,11.91660
2013-01-11,11.67780
2013-01-21,11.82010
2013-01-30,11.24530
2013-02-06,11.15100
2013-02-20,10.85320
2013-03-04,10.06310
2013-03-11,10.57170
2013-03-21,9.75360
2013-04-02,10.09120
2013-04-04,9.74850
2013-04-12,9.77920
2013-04-25,10.23590
2013-05-13,10.10100
2013-05-17,10.51980
2013-05-23,9.96990
2013-06-06,9.97140
2013-06-19,9.54740
2013-06-24,8.83620
2013-07-01,9.41730
2013-07-15,9.46600
2013-07-23,9.20290
2013-08-06,7.89770
2013-08-14,8.45960
2013-08-21,7.98310
2013-08-28,7.80230
2013-09-03,7.87740
2013-09-11,8.46610
2013-09-19,8.70130
2013-10-02,8.50080
2013-10-10,8.97340
2013-10-17,8.84200
2013-10-28,8.90090
2013-11-06,9.92170
2013-11-21,9.45870
2013-12-02,10.16850
2013-12-09,10.42560
2013-12-13,9.96880
2013-12-26,10.66840
2014-01-01,10.69190
2014-01-10,10.14310
2014-01-27,9.55630
2014-01-31,9.80430
2014-02-17,9.66910
2014-02-25,9.84090
2014-03-03,9.89620
2014-03-10,10.61510
2014-03-21,10.81410
2014-04-07,11.59050
2014-04-21,12.49580
2014-05-02,12.07490
2014-05-08,12.23390
2014-05-23,15.41610
2014-05-30,14.93700
2014-06-09,16.59920
2014-06-20,15.58180
2014-07-01,16.81560
2014-07-07,17.13670
2014-07-11,15.54910
2014-07-21,16.14450
2014-08-08,15.33090
2014-08-20,16.34040
2014-08-26,15.85770
2014-09-03,16.78910
2014-09-15,17.15310
2014-09-25,15.80580
2014-10-09,16.11630
2014-10-16,15.53980
2014-10-31,16.73690
2014-11-12,16.59980
2014-11-25,17.18240
2014-12-04,18.31770
2014-12-16,17.53760
2014-12-18,17.93260
