# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:32.715871+00:00
stretch_ending,fund_return,benchmark_return
2024-07-16,0.589513,
2024-07-24,0.604658,
2024-07-31,0.617243,
2024-08-07,0.600666,
2024-08-14,0.564793,
2024-08-21,0.654978,
2024-08-28,0.654704,
2024-09-04,0.634674,
2024-09-11,0.658475,
2024-09-18,0.639724,
2024-09-25,0.638235,
2024-10-01,0.628736,
2024-10-09,0.659520,
2024-10-16,0.635712,
2024-10-23,0.591835,
2024-10-30,0.596274,
2024-11-06,0.621114,
2024-11-13,0.470151,
2024-11-19,0.428896,
2024-11-27,0.433045,
2024-12-04,0.401899,
2024-12-11,0.400014,
2024-12-18,0.345065,
2024-12-24,0.306993,
2025-01-01,0.305285,
2025-01-08,0.280541,
2025-01-15,0.175451,
2025-01-22,0.196346,
2025-01-29,0.149900,
2025-02-05,0.127725,
2025-02-12,0.077132,
2025-02-19,0.022410,
2025-02-25,0.020770,
2025-03-05,0.006791,
2025-03-12,0.058602,
2025-03-19,0.126403,
2025-03-26,0.098976,
2025-04-02,0.063804,
2025-04-09,-0.006099,
2025-04-16,0.062011,
2025-04-23,0.089442,
2025-04-30,0.073736,
2025-05-07,0.108903,
2025-05-14,0.144281,
2025-05-21,0.108572,
2025-05-28,0.109057,
2025-06-04,0.171357,
2025-06-11,0.088457,
2025-06-18,0.051602,
2025-06-25,0.070236,
2025-07-02,0.070312,
2025-07-09,0.031384,
2025-07-16,0.026135,
2025-07-23,0.012373,
2025-07-30,-0.026820,
2025-08-06,-0.063207,
2025-08-13,-0.063658,
2025-08-20,-0.076563,
2025-08-26,-0.110809,
2025-09-03,-0.100653,
2025-09-10,-0.107004,
2025-09-17,-0.090806,
2025-09-24,-0.071584,
2025-10-01,-0.103649,
2025-10-08,-0.094095,
2025-10-15,-0.094784,
2025-10-20,-0.025488,
2025-10-29,-0.014427,
2025-11-04,-0.064157,
2025-11-12,-0.023492,
2025-11-19,0.000217,
2025-11-26,-0.015531,
2025-12-03,-0.061036,
2025-12-10,-0.062990,
2025-12-17,-0.034376,
2025-12-24,-0.014111,
2025-12-31,-0.036059,
2026-01-07,-0.034497,
2026-01-14,-0.010944,
2026-01-21,-0.064619,
2026-01-28,0.000752,
2026-02-04,-0.022660,
2026-02-11,0.052865,
2026-02-18,0.097345,
2026-02-25,0.113481,
2026-03-04,0.113993,
2026-03-11,0.111989,
2026-03-18,0.075107,
2026-03-25,0.051612,
2026-04-01,0.055920,
2026-04-08,0.107148,
2026-04-15,0.116476,
2026-04-22,0.081172,
2026-04-29,0.058051,
2026-05-06,0.123367,
2026-05-13,0.097560,
2026-05-20,0.088569,
2026-05-27,0.070673,
2026-06-03,0.070810,
2026-06-10,0.054237,
2026-06-17,0.072670,
2026-06-24,0.108364,
2026-07-01,0.096408,
2026-07-08,0.090096,
2026-07-15,0.126477,
2026-07-22,0.118489,
2026-07-29,0.142661,
2026-08-05,0.199294,
2026-08-12,0.221107,
2026-08-19,0.204042,
2026-08-26,0.246789,
2026-09-02,0.246405,
2026-09-09,0.217842,
2026-09-16,0.177784,
2026-09-23,0.202644,
