# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:33.820959+00:00
stretch_ending,fund_return,benchmark_return
2024-11-19,0.431782,
2024-11-27,0.463491,
2024-12-04,0.442137,
2024-12-11,0.425095,
2024-12-18,0.329184,
2024-12-24,0.314987,
2025-01-01,0.261795,
2025-01-08,0.230753,
2025-01-15,0.151418,
2025-01-22,0.177408,
2025-01-29,0.101853,
2025-02-05,0.053730,
2025-02-12,0.039869,
2025-02-19,-0.000869,
2025-02-25,-0.019525,
2025-03-05,-0.065759,
2025-03-12,-0.029987,
2025-03-19,0.035023,
2025-03-26,0.022153,
2025-04-02,-0.007017,
2025-04-09,-0.078175,
2025-04-16,-0.026948,
2025-04-23,-0.007792,
2025-04-30,-0.040083,
2025-05-07,-0.018867,
2025-05-14,-0.001728,
2025-05-21,-0.017290,
2025-05-28,-0.006612,
2025-06-04,0.051032,
2025-06-11,-0.011052,
2025-06-18,-0.060801,
2025-06-25,-0.045231,
2025-07-02,-0.049561,
2025-07-09,-0.067707,
2025-07-16,-0.068892,
2025-07-23,-0.062911,
2025-07-30,-0.096490,
2025-08-06,-0.106561,
2025-08-13,-0.096746,
2025-08-20,-0.096162,
2025-08-26,-0.128121,
2025-09-03,-0.128931,
2025-09-10,-0.115370,
2025-09-17,-0.096292,
2025-09-24,-0.115210,
2025-10-01,-0.123781,
2025-10-08,-0.097340,
2025-10-15,-0.078998,
2025-10-20,-0.036873,
2025-10-29,-0.028199,
2025-11-04,-0.042397,
2025-11-12,0.011039,
2025-11-19,0.040906,
2025-11-26,0.020299,
2025-12-03,-0.020088,
2025-12-10,-0.029071,
2025-12-17,-0.007940,
2025-12-24,0.038753,
2025-12-31,0.035579,
2026-01-07,0.064168,
2026-01-14,0.058695,
2026-01-21,0.012641,
2026-01-28,0.035788,
2026-02-04,0.036106,
2026-02-11,0.089528,
2026-02-18,0.109309,
2026-02-25,0.118589,
2026-03-04,0.101028,
2026-03-11,0.063667,
2026-03-18,0.047971,
2026-03-25,-0.019964,
2026-04-01,-0.035641,
2026-04-08,0.059599,
2026-04-15,0.053254,
2026-04-22,0.059310,
2026-04-29,0.073714,
2026-05-06,0.113329,
2026-05-13,0.068640,
2026-05-20,0.059245,
2026-05-27,0.077398,
2026-06-03,0.054172,
2026-06-10,0.027596,
2026-06-17,0.072960,
2026-06-24,0.086541,
2026-07-01,0.065518,
2026-07-08,0.045102,
2026-07-15,0.076167,
2026-07-22,0.076266,
2026-07-29,0.074142,
2026-08-05,0.129567,
2026-08-12,0.130463,
2026-08-19,0.086781,
2026-08-26,0.126195,
2026-09-02,0.130512,
2026-09-09,0.127526,
2026-09-16,0.066876,
2026-09-23,0.079320,
