# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m0
# Generated: 2026-09-26T10:36:34.513774+00:00
date,nav
2024-02-21,9.99840
2024-02-22,10.02580
2024-02-23,10.02820
2024-02-26,9.96550
2024-02-28,9.89470
2024-02-29,9.99440
2024-03-01,10.10100
2024-03-04,10.13690
2024-03-06,10.07330
2024-03-07,10.05380
2024-03-11,9.98950
2024-03-13,9.45980
2024-03-14,9.58540
2024-03-15,9.54570
2024-03-18,9.56430
2024-03-20,9.51810
2024-03-21,9.70740
2024-03-22,9.77240
2024-03-27,9.84540
2024-03-28,9.91940
2024-03-31,9.92090
2024-04-01,10.10800
2024-04-02,10.27030
2024-04-04,10.25540
2024-04-05,10.31040
2024-04-09,10.37280
2024-04-10,10.49260
2024-04-12,10.46620
2024-04-15,10.39010
2024-04-18,10.26880
2024-04-19,10.31310
2024-04-22,10.39980
2024-04-23,10.47370
2024-04-25,10.84940
2024-04-26,10.95320
2024-04-29,10.91900
2024-04-30,10.85790
2024-05-03,10.95150
2024-05-06,10.70330
2024-05-07,10.38520
2024-05-08,10.54690
2024-05-10,10.31020
2024-05-13,10.37850
2024-05-14,10.84960
2024-05-16,10.98930
2024-05-17,11.35400
2024-05-21,11.79280
2024-05-23,11.93790
2024-05-24,11.78820
2024-05-27,11.77410
2024-05-28,11.55220
2024-05-30,11.37310
2024-05-31,11.49290
2024-06-03,12.09990
2024-06-04,10.44890
2024-06-06,11.10980
2024-06-07,11.22640
2024-06-10,11.26220
2024-06-12,11.61960
2024-06-13,11.62310
2024-06-14,11.92580
2024-06-18,11.96960
2024-06-20,11.76190
2024-06-21,11.71010
2024-06-24,11.58320
2024-06-25,11.59060
2024-06-27,11.55220
2024-06-28,11.55830
2024-07-02,11.56020
2024-07-03,11.78150
2024-07-04,11.96640
2024-07-05,12.22980
2024-07-08,12.38450
2024-07-10,12.34290
2024-07-11,12.63920
2024-07-15,12.87220
2024-07-16,12.81160
2024-07-18,12.65150
2024-07-19,12.42140
2024-07-23,12.40610
2024-07-24,12.60450
2024-07-25,12.57170
2024-07-29,12.85680
2024-07-30,12.92380
2024-07-31,12.94810
2024-08-01,12.87700
2024-08-02,12.76770
2024-08-06,12.10750
2024-08-07,12.45090
2024-08-08,12.32190
2024-08-12,12.35260
2024-08-13,12.10600
2024-08-14,12.00250
2024-08-19,12.39520
2024-08-20,12.38460
2024-08-21,12.44580
2024-08-22,12.40940
2024-08-23,12.31930
2024-08-27,12.47330
2024-08-28,12.56870
2024-08-30,12.61870
2024-09-02,12.56150
2024-09-03,12.49760
2024-09-04,12.46740
2024-09-05,12.49520
2024-09-09,12.12770
2024-09-10,12.14760
2024-09-11,11.96040
2024-09-13,12.12990
2024-09-16,12.12510
2024-09-17,12.10250
2024-09-19,11.84590
2024-09-20,11.88960
2024-09-23,12.07510
2024-09-25,12.17230
2024-09-26,12.28490
2024-09-27,12.53160
2024-09-30,12.52460
2024-10-01,12.48160
2024-10-04,12.00390
2024-10-07,11.72050
2024-10-08,11.86130
2024-10-10,11.83160
2024-10-11,11.85610
2024-10-14,11.90590
2024-10-16,11.95060
2024-10-17,11.76290
2024-10-18,11.78840
2024-10-21,11.58760
2024-10-22,11.33850
2024-10-24,11.22350
2024-10-25,10.90660
2024-10-29,11.08820
2024-10-30,11.08250
2024-10-31,11.06710
2024-11-04,10.93720
2024-11-06,11.31740
2024-11-07,11.24470
2024-11-08,10.99270
2024-11-11,10.92800
2024-11-13,10.55610
2024-11-14,10.51240
2024-11-18,10.48710
2024-11-21,10.28250
2024-11-22,10.52790
2024-11-25,10.80430
2024-11-26,10.76740
2024-11-28,10.85630
2024-11-29,10.94220
2024-12-02,10.94590
2024-12-03,11.08790
2024-12-05,11.14330
2024-12-06,11.17320
2024-12-09,11.15470
2024-12-11,11.07590
2024-12-12,10.92860
2024-12-13,10.93550
2024-12-16,10.91620
2024-12-18,10.59910
2024-12-19,10.54100
2024-12-20,10.34270
2024-12-23,10.39940
2024-12-26,10.37320
2024-12-27,10.32450
2024-12-30,10.25270
2025-01-01,10.37080
2025-01-02,10.53090
2025-01-03,10.62840
2025-01-06,10.29660
2025-01-08,10.49330
2025-01-09,10.26570
2025-01-13,9.80630
2025-01-14,10.06670
2025-01-15,10.08930
2025-01-16,10.23930
2025-01-20,10.45080
2025-01-21,10.27350
2025-01-22,10.17830
2025-01-23,10.18340
2025-01-27,9.73370
2025-01-28,9.69980
2025-01-29,9.81490
2025-01-31,10.17690
2025-02-03,9.71430
2025-02-04,9.88350
2025-02-05,9.99170
2025-02-07,9.83260
2025-02-10,9.67040
2025-02-11,9.52380
2025-02-13,9.55190
2025-02-14,9.35850
2025-02-17,9.42240
2025-02-18,9.44030
2025-02-20,9.61640
2025-02-21,9.54350
2025-02-24,9.41610
2025-02-27,9.23130
