# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:31.099899+00:00
date,fund_below_high,benchmark_below_high
2025-04-07,0.000000,
2025-04-08,-0.000140,
2025-04-09,-0.000020,
2025-04-11,0.000000,
2025-04-15,0.000000,
2025-04-16,0.000000,
2025-04-17,0.000000,
2025-04-21,0.000000,
2025-04-22,0.000000,
2025-04-23,-0.000149,
2025-04-24,0.000000,
2025-04-25,0.000000,
2025-04-28,-0.000934,
2025-04-29,-0.000020,
2025-04-30,0.000000,
2025-05-02,0.000000,
2025-05-05,-0.000467,
2025-05-06,0.000000,
2025-05-07,-0.000139,
2025-05-08,0.000000,
2025-05-09,-0.000645,
2025-05-12,-0.002252,
2025-05-13,-0.000536,
2025-05-14,-0.000605,
2025-05-15,-0.000307,
2025-05-16,-0.000744,
2025-05-19,0.000000,
2025-05-20,-0.000654,
2025-05-21,0.000000,
2025-05-22,-0.000248,
2025-05-23,0.000000,
2025-05-26,0.000000,
2025-05-27,0.000000,
2025-05-28,0.000000,
2025-05-29,-0.000544,
2025-05-30,-0.000218,
2025-06-02,0.000000,
2025-06-03,-0.000148,
2025-06-04,0.000000,
2025-06-05,0.000000,
2025-06-06,0.000000,
2025-06-09,0.000000,
2025-06-10,0.000000,
2025-06-11,-0.000079,
2025-06-12,0.000000,
2025-06-13,0.000000,
2025-06-16,-0.000562,
2025-06-17,0.000000,
2025-06-18,-0.000148,
2025-06-19,0.000000,
2025-06-20,0.000000,
2025-06-23,-0.000728,
2025-06-24,-0.000856,
2025-06-25,-0.000866,
2025-06-26,-0.000118,
2025-06-27,0.000000,
2025-06-30,0.000000,
2025-07-01,0.000000,
2025-07-02,0.000000,
2025-07-03,0.000000,
2025-07-04,-0.000069,
2025-07-07,0.000000,
2025-07-08,-0.000511,
2025-07-09,0.000000,
2025-07-10,0.000000,
2025-07-11,0.000000,
2025-07-14,-0.000039,
2025-07-15,0.000000,
2025-07-16,0.000000,
2025-07-17,-0.000235,
2025-07-18,0.000000,
2025-07-21,-0.000059,
2025-07-22,0.000000,
2025-07-23,-0.000176,
2025-07-24,-0.000029,
2025-07-25,0.000000,
2025-07-28,-0.000597,
2025-07-29,-0.000538,
2025-07-30,0.000000,
2025-07-31,0.000000,
2025-08-01,0.000000,
2025-08-04,-0.000498,
2025-08-05,0.000000,
2025-08-06,-0.000234,
2025-08-07,-0.001113,
2025-08-08,0.000000,
2025-08-11,0.000000,
2025-08-12,-0.000059,
2025-08-13,-0.000478,
2025-08-14,0.000000,
2025-08-18,-0.000585,
2025-08-19,-0.000283,
2025-08-20,0.000000,
2025-08-21,0.000000,
2025-08-22,0.000000,
2025-08-25,0.000000,
2025-08-26,0.000000,
2025-08-28,0.000000,
2025-08-29,-0.000097,
2025-09-01,0.000000,
2025-09-02,0.000000,
2025-09-03,-0.000165,
2025-09-04,0.000000,
2025-09-05,-0.000884,
2025-09-08,-0.000505,
2025-09-09,-0.000097,
2025-09-10,-0.000272,
2025-09-11,-0.000126,
2025-09-12,0.000000,
2025-09-15,-0.000107,
2025-09-16,0.000000,
2025-09-17,0.000000,
2025-09-18,0.000000,
2025-09-19,0.000000,
2025-09-22,0.000000,
2025-09-23,-0.000398,
2025-09-24,0.000000,
2025-09-25,-0.000116,
2025-09-26,0.000000,
2025-09-30,0.000000,
2025-10-01,0.000000,
2025-10-03,0.000000,
2025-10-06,0.000000,
2025-10-07,0.000000,
2025-10-08,0.000000,
2025-10-09,-0.000965,
2025-10-10,-0.000483,
2025-10-13,0.000000,
2025-10-14,0.000000,
2025-10-15,-0.000781,
2025-10-16,-0.000125,
2025-10-17,0.000000,
2025-10-20,-0.000299,
2025-10-23,-0.000029,
2025-10-24,0.000000,
2025-10-27,-0.000212,
2025-10-28,-0.000115,
2025-10-29,-0.000298,
2025-10-30,0.000000,
2025-10-31,-0.000596,
2025-11-03,0.000000,
2025-11-04,0.000000,
2025-11-06,0.000000,
2025-11-07,-0.000010,
2025-11-10,-0.000096,
2025-11-11,0.000000,
2025-11-12,-0.000250,
2025-11-13,0.000000,
2025-11-14,-0.000058,
2025-11-17,-0.000134,
2025-11-18,0.000000,
2025-11-19,0.000000,
2025-11-20,0.000000,
2025-11-21,0.000000,
2025-11-24,0.000000,
2025-11-25,0.000000,
2025-11-26,-0.000296,
2025-11-27,-0.000057,
2025-11-28,0.000000,
2025-12-01,0.000000,
2025-12-02,0.000000,
2025-12-03,-0.000038,
2025-12-04,0.000000,
2025-12-05,-0.000095,
2025-12-08,0.000000,
2025-12-09,-0.000629,
2025-12-10,0.000000,
2025-12-11,-0.000648,
2025-12-12,-0.000448,
2025-12-15,-0.000029,
2025-12-16,0.000000,
2025-12-17,0.000000,
2025-12-18,0.000000,
2025-12-19,0.000000,
2025-12-22,0.000000,
2025-12-23,0.000000,
2025-12-24,0.000000,
2025-12-26,0.000000,
2025-12-29,0.000000,
2025-12-30,-0.000152,
2025-12-31,0.000000,
2026-01-01,-0.000190,
2026-01-02,0.000000,
2026-01-05,0.000000,
2026-01-06,-0.000237,
2026-01-07,0.000000,
2026-01-08,0.000000,
2026-01-09,0.000000,
2026-01-12,-0.000294,
2026-01-13,0.000000,
2026-01-14,-0.000047,
2026-01-16,0.000000,
2026-01-19,0.000000,
2026-01-20,0.000000,
2026-01-21,0.000000,
2026-01-22,-0.000066,
2026-01-23,0.000000,
2026-01-27,-0.000481,
2026-01-28,0.000000,
2026-01-29,0.000000,
2026-01-30,0.000000,
2026-02-02,-0.000509,
2026-02-03,-0.000038,
2026-02-04,-0.000009,
2026-02-05,0.000000,
2026-02-06,0.000000,
2026-02-09,-0.000075,
2026-02-10,0.000000,
2026-02-11,0.000000,
2026-02-12,-0.000122,
2026-02-13,0.000000,
2026-02-16,-0.000038,
2026-02-17,0.000000,
2026-02-18,-0.000179,
2026-02-19,0.000000,
2026-02-20,-0.000113,
